id,text (post_caption),meme_text,caption_theme,meme_theme,image_desc,link
1,Iranian media mocks Trump with viral meme about controlling Hormuz,Controlling Hormuz,"framing, amplification","satire, geopolitics",Trump with steering wheel symbolizing control over geopolitics,https://x.com/PamphletsY/status/2036199028824695181
2,Iranian trolling is getting too good,(no clear text),"admiration, amplification","satire, power, exclusion",Trump being denied entry while global leaders sit inside VIP Hormuz club,https://x.com/AdameMedia/status/2038243277166538766
3,I made a meme about Iran and you better all like it,I made a meme about Iran and you better all like it,"self-referential, humor","satire, absurdity, conflict",Multi-panel meme showing Trump and Iranian leader interaction ending in explosion,https://x.com/BasedBandita/status/1936613099697479855
4,When you don’t want to get involved in another middle eastern war but if you topple Iran you cut off China’s oil supply,(same as caption),analytical framing,"geopolitics, dilemma, strategy",Reaction meme (Larry David) expressing hesitation in geopolitical dilemma,https://x.com/MostlyPeaceful/status/2027707881605177575
5,Iranians are frustrated that Israel didn't attack Khamenei's residence,(no clear text),"descriptive, amplification","satire, targeting, geopolitics",Meme showing a man pointing at a map highlighting leader’s location,https://x.com/DrEliDavid/status/1850137561311723668
6,The Iranian Air Force prepping to mobilize their best flying carpets,The Iranian Air Force prepping to mobilize their best flying carpets,"neutral, humor","stereotype, satire, cultural reference",Workers arranging Persian carpets framed as military preparation,https://x.com/mask_bastard/status/1779308827864658418
7,Third worlders watching America obliterate Iran’s military,(same as caption),framing,"power, spectatorship, inequality",Reaction meme (Star Wars character) expressing shock at overwhelming military force,https://x.com/MostlyPeaceful/status/2029336000200360437
8,A message to the U.S. Military about to fight in Iran,remember who you're fighting for,"mobilization, propaganda","propaganda, identity, militarization","Soldier POV image (helmet, weapon) with embedded motivational message",
9,This sums up the USA-Iran war,(no clear text),"framing, emotional","propaganda, emotional appeal, fear",Soldier hugging child representing emotional justification of war,https://x.com/shaanhaider/status/2028089508668092738
11,(no caption),Me laughing at World War 3 memes vs me after I get drafted,neutral,"humor, reality shift, anxiety",Split image showing a happy cartoon character vs serious military formation,https://x.com/NoahKingJr/status/2027745574418846145
12,(no caption),"Me at war, in a corner sharing memes because I ran out of bullets",neutral,"humor, absurdity, coping, digital escapism",Soldier leaning against wall using phone during combat,https://x.com/j4jayjay_/status/2027657981232349441
13,(no caption),Americans: Why do foreigners care so much about our elections? / US military bases:,critical framing,"geopolitics, militarization, irony",World map filled with markers showing US military bases globally,https://x.com/ShangguanJiewen/status/1850210747105624394
14,Saudi Arabia wins the humiliation meme so far,(no clear text),evaluative framing,"geopolitics, power, humiliation",Trump standing while a Saudi figure kneels behind him indicating hierarchy,https://x.com/realgerhardtvdm/status/2038261017533391195
15,(no caption),I was told no new wars / The Gulf of Broken Campaign Promises,critical,"political critique, irony, geopolitics, trust",Map edited to show “The Gulf of Broken Campaign Promises”,https://x.com/LibertyCappy/status/2033946043180581361
16,This meme is viral and rightfully so #ceasefire,Please help me,"endorsement, activism","geopolitics, power, dependency",Cartoon showing leader kneeling and asking for help from another leader,https://x.com/VertigoWarrior/status/1921187185513967778
17,Marco Rubio sits down with the new supreme leader of Iran,(no clear text),satirical framing,"geopolitics, leadership, absurdity, satire",Marco Rubio sitting next to a cardboard cutout representing Iran’s supreme leader figure,https://x.com/TheRicanMemes/status/2031490088111128696
18,Iran is ordering Supreme Leaders on Prime because the packages keep disappearing,(no clear text),satirical framing,"geopolitics, absurdity, digital culture, satire",Iranian supreme leader figure depicted as an Amazon Prime package being delivered on stage,https://x.com/FaithFlag123/status/2031498206631141388
19,Incredible memes on the Iranian side of X.,(no clear text),evaluative framing,"geopolitics, alliance, conflict, dark humor",Wojak-style meme showing US and Israeli soldiers shaking hands while an Iranian figure is depicted as suffering below,https://x.com/DanTalks1/status/2034797889084694946
20,This meme has so much truth in it! 😉,USA = Bald Eagle / Iran = Vulture / NATO = Chicken,"endorsement, framing","geopolitics, symbolism, hierarchy, propaganda","Illustration showing Iran as a vulture feeding on bones, USA as a strong eagle, and NATO as a weak chicken",https://x.com/RYboating/status/2036160796921893241
21,This might be a simple meme to you… symbolizes hope and freedom… represents a return to normalcy,Iran in a year:,"ideological framing, advocacy","geopolitics, westernization, aspiration, propaganda","Map of Iran edited with Western brands (Walmart, Costco, Buc-ee’s, etc.) placed across cities suggesting future transformation",https://x.com/gghamari/status/1936696834312814647
22,"This meme pops into my head every time I see posts about a ""discussion with Iran."" I went from being the biggest fan of Trump to not being able to stand Trump or trust a word coming out of his mouth.",THOSE IRANIANS YOU'RE TALKING TO... ARE THEY HERE WITH US?,"personal framing, critique","geopolitics, distrust, satire",Interrogation room scene with Trump in hospital gown being questioned by a man,https://x.com/SaltyGirl09/status/2038609372771692976
23,Me waiting for customer service because they're all out fighting a war,Me waiting for customer service because they're all out fighting a war,"humor, exaggeration","absurdity, delay, war reference, satire","Skeleton lying on desk holding a phone, representing extremely long waiting time",https://x.com/whatimemetosay/status/1919921898521088293
24,Pictures have emerged of the fleet of 20 “big boats of oil” that Trump says Iran have given him as a sign of respect.,(no clear text),"satire, mockery","geopolitics, ridicule, absurdity",Trump sitting in a bathtub surrounded by many colorful toy boats symbolizing mocked oil tankers,https://x.com/Ryder56004614/status/2038528679286890908
25,“Iran: We did not hold any direct negotiations with US.” Trump realizing he was talking to an Indian scammer:,"(reaction image, no explicit text)","satire, mockery","geopolitics, deception, humor",Reaction image of a confused/surprised man (John Cena) realizing something is wrong,https://x.com/alifarhat79/status/2038610012667314188
26,BREAKING: The loss of an E-3 surveillance craft is fake news. The craft has already been restored to service. Iran is seething.,(no clear text),"propaganda, mockery","geopolitics, military, satire, disinformation","US surveillance aircraft with visibly damaged/repaired radar dome, presented as “restored” ironically",https://x.com/simpatico771/status/2038361352591360246
27,STOP IT 🤣🤣🤣,"Iran Negotiations Chat: ""Hello, this is Iran. You need to send us $1,500 in Walmart gift cards..."" / ""How would I know you're real?"" / ""Allah Akbar"" / ""Fair enough, sending now.""","reaction, amplification","geopolitics, deception, satire, stereotyping","satire, stereotyping
Fake chat interface showing Trump being scammed by someone posing as Iran asking for gift cards",https://x.com/alifarhat79/status/2038685312474325327
28,FENTCOM Update We told him to go away five times but he won't go away.,The homeless guy I told I don't have any Patriot missiles watching me shoot down Iranian rockets,"satire, parody","geopolitics, military, absurdity, dehumanization","Person standing outside a window watching someone inside, framed as intrusive observer",https://x.com/FENTCOM/status/2038392970295013531
29,You are here 👇,"MONDAY MARKET OPEN: “Another historic peace deal, maybe the biggest ever” / FRIDAY MARKET CLOSE: “Death to the Ayatollah, we will blow your shit up fr”","commentary, framing","geopolitics, volatility, satire, escalation",Two-panel Wojak-style meme showing Trump calm at market open vs enraged at market close illustrating rapid shift from diplomacy to aggression,https://x.com/buckadeath/status/2038453536074461269
30,What’s the weather like in Tel Aviv this week?,TEL AVIV FORECAST (missile icons across the week),"irony, rhetorical framing","geopolitics, warfare, satire, threat framing","Weather forecast screen labeled Tel Aviv showing missiles instead of weather, presented by a uniformed Iranian figure",https://x.com/TheSaviour/status/2038448628390318175
31,BREAKING: US Treasury Secretary announces the US will retake control of the Strait of Hormuz.,It’s up to you to break generational trauma / “You’re going to Iraq” → “You’re going to Iran”,"critical framing, historical analogy","geopolitics, war cycle, generational trauma, US foreign policy critique",Multi-panel cartoon showing generational repetition of war drafts shifting from Iraq to Iran,https://x.com/BacardiCapital/status/2038627936182345883
32,(no caption),"Instagram edit kids realizing there is no Macarena music, they’re dying for Jews in Iran",provocative framing,"dark humor, war satire, online culture vs reality, shock value",Peter Griffin hiding behind a tree watching a violent scene in the distance implying contrast between meme editing and real conflict,https://x.com/hayasaka_aryan/status/2038423909591044237